,Mean,Variance
msl,100985.07908378965,34283.13210572863
sst,28.42204936168152,0.13581667240010872
u10,1.3796119873290458,1.9967303057409855
v10,-0.45134096261441004,2.3465708927940745
ws,2.688490978411134,1.0615750685333
t2m,27.000179561299337,1.9515134455504937
rh,80.55884932607803,91.22381474448366
tp,3.8194658983770675,53.370213687144684
